# narkamauka<TAB>taraskievica
# Toponyms and given names with distinct Taraškievica forms.
# Names that differ only by a regular rule (Свіцязь → Сьвіцязь, Еўропа → Эўропа) are not listed.
мінск	менск
мінска	менска
мінску	менску
мінскам	менскам
мінскі	менскі
мінская	менская
мінскае	менскае
мінскія	менскія
гродна	горадня
гродзенскі	гарадзенскі
брэст	берасьце
брэсцкі	берасьцейскі
полацк	полацак
навагрудак	наваградак
расія	расея
расійскі	расейскі
расійская	расейская
расійскае	расейскае
расійскія	расейскія
германія	нямеччына
іспанія	гішпанія
іспанскі	гішпанскі
егіпет	эгіпет
афіны	атэны
берлін	бэрлін
вільнюс	вільня
іерусалім	ерусалім
швецыя	швэцыя
нарвегія	нарвэгія
венгрыя	вугоршчына
бельгія	бэльгія
галандыя	галяндыя
ісландыя	ісьляндыя
ірландыя	ірляндыя
балгарыя	баўгарыя
сербія	сэрбія
славакія	славаччына
турцыя	турэччына
кіпр	кіпар
мексіка	мэксыка
бразілія	бразылія
аргенціна	аргентына
одэса	адэса
мюнхен	мюнхэн
лондан	лёндан
ліверпуль	лівэрпуль
венецыя	вэнэцыя
неапаль	нэапаль
жэнева	жэнэва
гельсінкі	гэльсынкі
копенгаген	капэнгаген
барселона	барсэлёна
пётр	пётар
пятра	пятра
аляксандр	аляксандар
міхаіл	міхал	n2t
уладзімір	уладзімер
# §17 ("у форме безь й … паасобныя ўсходнехрысьціянскія імёны: Валеры, Георгі, Дзьмітры, …, Юры"):
# the base forms. The adapted forms Зьміцер, Валер (§17) and Павал (§55.1 Заўвага А) are also
# valid, so they are not substituted (NORMS.md, optional forms). Леанід stays (§48 "Але: Леанід").
юрый	юры
дзмітрый	дзьмітры
валерый	валеры
ілья	ільля
# --- Швейцарыя → Швайцарыя: stem swap only, endings unchanged.
# Forms: GrammarDB RELEASE-202601, paradigms Швейцарыя (NPIINF2) and швейцарскі (ARP).
# Only these exact forms; швейцар (doorman) is a different lexeme and is not touched.
швейцарыя	швайцарыя
швейцарыі	швайцарыі
швейцарыю	швайцарыю
швейцарыяй	швайцарыяй
швейцарыяю	швайцарыяю
швейцарскі	швайцарскі
швейцарскага	швайцарскага
швейцарскаму	швайцарскаму
швейцарскім	швайцарскім
швейцарскае	швайцарскае
швейцарская	швайцарская
швейцарскай	швайцарскай
швейцарскую	швайцарскую
швейцарскаю	швайцарскаю
швейцарскія	швайцарскія
швейцарскіх	швайцарскіх
швейцарскімі	швайцарскімі
# --- Country names in all case forms. Forms: GrammarDB RELEASE-202601 paradigms (NPIINF2 /
# NPIINM1); Taraškievica targets checked against the project owner's reference list and
# baltoslav.eu (spot-check only). Same paradigm on both sides, so only the stem changes.
# Sources for the stems: Аргентына §66, Армэнія §11, Гішпанія §33 §64, Расея §33 (Збор 2005);
# Бэльгія, Мэксыка, Кыргыстан are not in the rules text (owner's list).
аргенціны	аргентыны
аргенціне	аргентыне
аргенціну	аргентыну
аргенцінай	аргентынай
аргенцінаю	аргентынаю
арменія	армэнія
арменіі	армэніі
арменію	армэнію
арменіяй	армэніяй
арменіяю	армэніяю
бельгіі	бэльгіі
бельгію	бэльгію
бельгіяй	бэльгіяй
бельгіяю	бэльгіяю
іспаніі	гішпаніі
іспанію	гішпанію
іспаніяй	гішпаніяй
іспаніяю	гішпаніяю
кыргызстан	кыргыстан
кыргызстана	кыргыстана
кыргызстану	кыргыстану
кыргызстанам	кыргыстанам
кыргызстане	кыргыстане
мексікі	мэксыкі
мексіцы	мэксыцы
мексіку	мэксыку
мексікай	мэксыкай
мексікаю	мэксыкаю
расіі	расеі
расію	расею
расіяй	расеяй
расіяю	расеяю
# Германія → Нямеччына (Збор 2005 §37): endings differ by case. Германіі is genitive, dative and
# locative at once, so it is chosen by context in data/lexicon/case/ambiguous.tsv; only the
# reverse keys (Нямеччыны, Нямеччыне → Германіі) are listed here, one-way.
германію	нямеччыну
германіяй	нямеччынай
германіяю	нямеччынаю
германіі	нямеччыны	t2n
германіі	нямеччыне	t2n
